对话ID,对话内容,说话人物-文件名,BGM,场景
DialogID,Content,Character,BGM,Background
1001,钜子，已行遍九州，但无人愿采纳兼爱非攻的理念。,主角-失落,地图,地图
1002,一路走来，诸侯兴不义之师，裹挟百姓互相攻伐。欸！诸国百姓本无冤无仇，彼此相安，只因诸侯一己私欲，执起刀兵，相互残杀。那诸侯间吹嘘的战果，背后隐藏了多少支离破碎的家庭！,主角-怒,地图,地图
1003,那彼此相爱的太平盛世终究不会到来吗？,主角-失落,地图,地图
1004,子禽，此言差矣。各诸侯虽然短视，无视黎民百姓，然吾等一路走来，传道授业，扶助百姓。兼爱非攻已然在百姓心中扎根。,墨子-平常,地图,地图
1005,如无农户，诸侯食何？如无女红，诸侯衣何？如无工匠，诸侯住何？百姓创造了我们拥有的一切，而我们的理念深入人心，百姓终有一日会终结这无义战，还天下太平。,墨子-感慨,地图,地图
1006,而我们传授的这些知识也会有更多应用吧。,墨子-感慨,地图,地图
1007,钜子，果真如此？,主角-疑问,地图,地图
1008,哈哈，子禽，记得针孔成像否？,墨子-乐,地图,地图
1009,记得，我们依此破了那祭司的诡计。,主角-平常,地图,地图
1010,然，你可想过将成的像记录下来？,墨子-平常,地图,地图
1011,记录吗。,主角-疑问,地图,地图
1012,想必待天下太平之日，人们回想起我们的发现，不再是招摇撞骗的把戏，而是运用于生产，解决百姓的疑难。穷尽物之理。,墨子-感慨,地图,地图
1013,跨越千年，实现这未有之梦。,旁白,地图,黑屏
